icon_id,method,variant,k,cluster,quality_score
38fcc454e8b76e8a,hierarchical,image,3,0,
671222e19754e444,hierarchical,image,3,1,
3167ff62be4a1ae7,hierarchical,image,3,1,
7cb54d2ffd287b95,hierarchical,image,3,1,
c0b01f650a9f3047,hierarchical,image,3,1,
af8efb82a3eaf250,hierarchical,image,3,1,
121de65a284465c5,hierarchical,image,3,1,
276e0f48b2aecf30,hierarchical,image,3,1,
b5c1200b37f8968d,hierarchical,image,3,1,
2dfb8baa45944a16,hierarchical,image,3,1,
80b2d92acb1f6d71,hierarchical,image,3,1,
81cdfb4479630d2b,hierarchical,image,3,1,
da1cc0b972f266c1,hierarchical,image,3,1,
cfb5182dc1998eb7,hierarchical,image,3,1,
453de2a0ac7e4646,hierarchical,image,3,1,
22dd7014ca4e0926,hierarchical,image,3,1,
7ab893955ce53d32,hierarchical,image,3,1,
a775dde68401f18c,hierarchical,image,3,1,
8d956b8fd66bfd40,hierarchical,image,3,1,
951be4fa343dfcc3,hierarchical,image,3,1,
26246a410ab5f5fc,hierarchical,image,3,1,
633d125136da3e33,hierarchical,image,3,1,
70c66f7df237db99,hierarchical,image,3,1,
ca282d9b8d67354b,hierarchical,image,3,1,
bbdb16044679062a,hierarchical,image,3,1,
ce5351620f2eb860,hierarchical,image,3,1,
ab05a4526c352168,hierarchical,image,3,1,
b6aae574e74b8cfe,hierarchical,image,3,1,
c4317c54e3675826,hierarchical,image,3,1,
6cd75929d0d2a3f0,hierarchical,image,3,1,
47e3bd73efa382ae,hierarchical,image,3,1,
ccaf59c0ceb35dab,hierarchical,image,3,1,
e0d2e112cc0df560,hierarchical,image,3,1,
5cea9f126476238d,hierarchical,image,3,1,
714e0ea28c0b44d6,hierarchical,image,3,1,
d2908bcd850fab66,hierarchical,image,3,1,
946f5783ecc3c3d3,hierarchical,image,3,1,
c3af4581e34e912a,hierarchical,image,3,1,
8b56c33a174b9ce3,hierarchical,image,3,1,
13c91a98bdfe97db,hierarchical,image,3,1,
59f7cf4b24c41dc4,hierarchical,image,3,1,
f81f3d24abe2590e,hierarchical,image,3,1,
